Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Manufacture,P/N,Voltage,Power,Material,Tolerance,Temperature
19,x40,100OHM-0603-1_10W-1%-SparkFun-Resistors-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,R66 R67 R68 R69,47K OHM,603,4,https://octopart.com/crcw060347k0fkea-vishay-39826226,Vishay,CRCW060347K0FKEA,50V,1/10W,Thick Film SMD Paper,1%,Automotive
20,x20,100OHM-0603-1_10W-1%-SparkFun-Resistors-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,R56,604 OHM,603,1,https://octopart.com/crcw06031k40fkea-vishay-39856971?r=sp&s=N5tJThrfRgmPb8fESt6iJg,Vishay,CRCW06031K40FKEA,50V,1/10W,Thick Film SMD Paper,1%,Automotive
21,x20,SW_DIP_x04-Switch-BMS_6804IG-2_Slave_V1-rescue,SW1,SW_DIP_x04,DIPSWITCH-04-SMD,1,https://datasheet.octopart.com/A6SN-4101-P-Omron-datasheet-10910204.pdf,OMRON,A6SN-4104,24VDC,25mA at 24VDC,Resin Hi Temp,1000 cycles,-30C to +85C
22,x20,ADT1-1-Transformer-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,TR1,HM2101NLT,HM2101NLT,1,http://download.siliconexpert.com/pdfs/2017/10/30/23/54/27/585/tnl_/manual/hm2101nl.pdf,PULSE,HM2101NL,1000Vrms,NA,Copper,2500V,-45C to +125C
23,x10,24AA02-memory-BMS_6804IG-2_Slave_V1-rescue,U4,24AA02,SOT23-5,1,http://ww1.microchip.com/downloads/en/DeviceDoc/22124D.pdf,Microchip,24AA02,1.8v to 5.5v,20mW,CMOS,Automotive,-45C to +125C
24,x10,"74HC4051 8-channel analog multiplexer/demultiplexer, DIP-16/SOIC-16/TSSOP-16",U2,74HC4051,TSSOP16,1,https://datasheet.octopart.com/74HC4051PW%2C118-Philips-datasheet-12517090.pdf,NXP Semiconductors,"74HC4051PW,118",2v to 6v,60mW,CMOS,MIL-PRF-38535,-55C to +125C
25,x10,LTC6255IS6TRMPBF-RocketScreamKicadLibrary-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,U3,LTC6255IS6TRMPBF,SOT95P280X100-6N,1,https://octopart.com/search?r=sp&s=H80Gk2KHTxSQ0zbgbt1XiA&q=LTC6255IS6TRMPBF&start=0,Analog Devices/Linear Technology,LTC6255IS6TRMPBF,1.8V to 5.25V,"SC-Amps/Industrial Single 6.5MHz, 65uA",Linear Technology/Analog,RRIO Op Amps,Automotive
26,x10,LTC6804IG-2#PBF-RocketScreamKicadLibrary-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,U1,LTC6804IG-2#PBF,SOP50P780X200-48N,1,Linear Tech. LTC6804IG-2#PBG,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Component Groups:,26,,,,,,,,,,,,,
Component Count:,122,,,,,,,,,,,,,
Fitted Components:,122,,,,,,,,,,,,,
Number of PCBs:,1,,,,,,,,,,,,,
Total components:,122,,,,,,,,,,,,,
Schematic Version:,1,,,,,,,,,,,,,
Schematic Date:,2018-11-15,,,,,,,,,,,,,
BoM Date:,Tue 15 Jan 2019 08:51:48 AM PST,,,,,,,,,,,,,
Schematic Source:,/home/pbear/Projects/HW/Tier1/UT1-2810-601/UT1-2810-601.sch,,,,,,,,,,,,,
KiCad Version:,Eeschema 5.0.2-bee76a0~70~ubuntu16.04.1,,,,,,,,,,,,,
